Commental title,Review main body
Slightly rushing end,/
Big BOSS behind the scenes,"The film reveals the complex humanity, the general situation and the protagonist are not halfway, the cannon gray, which is the big BOSS that will reverse the plot, a older old man can come to participate, the competition has hopped with life. In the first game, the old man running is fast than anyone. Little does not lose people, Qun is careful when the old hair is burn, and choose the teammates."
"Gambling is gambling, whether it is betting, or given a gamble, there is nothing pitiful.",/
"""Squid Game""",/
"Squid game, get it, the more you",/
Korean stealing Chinese culture.,"[_ Sugar] is also named '_ sugar' 'big pear cake', originated in the Song Dynasty in China. [Tutoring] originated in China's spring and autumn. [Korean tug-of-war], the original [Tang Dynasty tug-of-war], originated in the Tang Dynasty in China. [Squid clothes], originated in the early years of China, now is now [China School uniform]. [123 wood people] originated during the Republic of China. [Paper Pack] originated during the Republic of China. [Playing ball"
"If I want to understand sociology, I don't know how deep it directly.",/
The old man is not necessarily the winner of the first game.,/
human nature,"I finally finished ""squid game"", although only 9 episodes. The full drama used six-segment game bloody reveals human nature, full of fraud, selfishness, and fresh fearless. In the life of life and death, everyone who participated in the game is not innocent. The money on the top of the head is the dangerous sword, but after the first abandonment, most people will volunteer It is difficult to cut the desire to participate."
"Everyone's character is good, I don't know if it is because of the protagonist, I feel that I am clear and indirect, but I blame the childhood partner. I feel that it is still a man.",/
"Don't want to write a long play, but the number of words is super",/
This is not talking about humanity,/
Life is a huge fightground,/
Can't set up this thermal play (spoiled),"6-7 points level drama, play two stars to pull down. Observing the human nature under extreme conditions, the acting skills are not awkward, certainly can't be rotten, but it is not worthy of the heat of the current speculation. The lower side is a few failures in my eyes: 1. The protagonist is too pale, from a mix of the old mother to gamble, to a perfect male protagonist, this shift is too big, forcibly cooperating with the plot, logic No"
Can't set up this thermal play (spoiled),"6-7 points level drama, play two stars to pull down. Observing the human nature under extreme conditions, the acting skills are not awkward, certainly can't be rotten, but it is not worthy of the heat of the current speculation. The lower side is a few failures in my eyes: 1. The protagonist is too pale, from a mix of the old mother to gamble, to a perfect male protagonist, this shift is too big, forcibly cooperating with the plot, logic No"
"How much is it necessary to say, I have not been settled with the kidney.","The screenwriter is not a reader to see more ... Without a match, even the most basic blood type did not detect, casually picking the organs from a body, just take the formalin a bubble, plastic pocket, take it, take it. , Still diving ... I really thought that the organ transplant is like a wood like a wood? ? I have been 2021, I have to say how many times, such an organ really can only take the burst of fried waist flowers ........."
"""Squid game"", ""parasites"" were taken, representing universal despair","Universal, allovertheworld. The director is interviewed in Hollywood: ""The game rules are designed to make the people of the world to resonate, and 90% of themselves are under the bottom"", as the discussion of the world. "" So, whether it is the ""parasite"" of Oscar, or now Netflix's ""squid game"", everyone knows the class and capital issues, and is used to express different techniques."
The power of the capital of the country has been able to describe the sky.,"They will shoot ""Squid Games"", which attacks the copy of the capitalism to take the proletariat of the country, allowing the country's proletariat, and splitting the anger in his heart, thereby reducing the probability of occurrence of proletarian revolution. But in fact, the Cap capital is still playing actresses, playing a male star, and Bottom capitalist is still in the proletariat. The United States has differentiated proletariat, cherry through politics."
"It is said that it is the opportunity to give you the last fair competition, but it is still hidden class and gender discrimination.","The male second estimation is the most annoying person outside the black boss, but he may be that he may be a person in the top of the game and other gamblers, pickup, mixed, and smugglers. The world is also in the middle of the world. High-quality high-quality investment company executives, independent, and other players are not a class. In the wood man, he is except for large bosses"
"Squid game, death game","Netflix hottest series, the subject of death game is not too attracting me, there are many ""hunger games"" ""hunger game"", ""Animal World"", for money, breaking through humanity, zero and game, fighting you to die. . The foreign journals are reported on this episode to the world, and then they will be separated from ""mainstream"". ""Squid Game"" compared to other death game theme"
See the cruel truth of squid games from six games,/
Good look!,"It's so good to see! It is not very terrible to be very terrible. I feel that the director will shoot. It is not a big boss. I can't guess it. I can't guess! And Shang You is small When I turned on, I thought he was super kind, ah, ah, behind the plot is simply !! _ squid game _ squid game _ squid game _ squid game _ squatting"
"""Squid Game"": Squid",/
"The last episode of the master, I love my plot, dizzy.","I didn't expect that everyone has passed so long, and it is such a man, I hate the man. There is a contradiction before and after the character, the front is a person who doesn't care about his wife, but also steals the mother's money out of the gambling horses, and go directly to the white lotus. Every time he died, he can cry, you are so happy, you come here, when you come, you already know what is the same, you don't return it for the second time."
"Have a feeling, just write some","I haven't written a comment for a long time. Recently, I read ""Squid Games"", I really like it very much. It can be said that it is completely in line with my taste. So I suddenly think about it, I want to talk to everyone (not a film review, just write to write) _ First, why is this drama fire? This theme is actually quite a lot, it is not difficult to see the structure of a beautiful drama. As a previous mixed Korean circle, Korean drama is now"
Squid is a fire,/
Squid of a gas,/
Glass bridge should have no knowledge,"Tempered glass will break into small pieces when broken, can not appear large, the female lead also to the bar a notch 1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 ()"
"Propaganda, CULT and polios","The following is suspected of two anti-transparent, did not see the friends who wanted to see, as a big escape and gaming game work powder, and the highlight of the squid game was only Cult and Li Zhengau. (After all, the European and American movies and Japanese comic animation have put the tricks all over the popular game may allow the audience to easily understand and resonate, but therefore really can't play. Tug"
Cantonese,/
He said that I remember,/
Care! This film has a serious ingredient of the Virgin Green Tea! It will cause extreme discomfort!,/
Later story is violated,/
"Men's thinking is chaotic, unclear, every big event will","This male protagonist is really thinking, unclear people, seeing him. From the beginning of his wife, he went to him, he still felt that he was particularly good; there was still a man, but also to go to the horse, to ask the ex-wife to borrow money, and then the father gave him him again ... Waiting It is reflected in the exhaustion. The final ending still confirms his consistent confusing way, clearly can win money"
It can only be said that it is diishing of the mild chicken soup.,/
Life is a squid game,/
"After knowing, I feel the drama.",/
"Capitalism in ""Squid Game"" (1)","Korean drama ""Squid Game"" recently hot, the stock price of Netflix, therefore, rose over 20%, claiming that the drama will bring $ 891 billion valuation. The number of exemplary in the actress players increased from 400,000 to 20 million. Many people picky from the child's game rules, or feel that the plots are not exciting like the ""big escape"" plot, and more people are keen to discuss the game strategy."
"Which Chinese culture is stolen in ""squid game"", is the United States confident?","""Squid Game"" steals Chinese culture, including but not limited to [tug-of-war] [paper bag] [123 wood people] [_ sugar] [clothing design], some people say Americans confident, not glass, unlike China. Then you know the United States to pull the ""China: Defining the Leads"" ""Crazy Alien"" ""Changjin Lake"" and other movies? A self-confidence, ßõßõ, true confident, confident, black China's film"
"Winning is quen, don't win, but independence","1. Humanity of high-pressure squeezing, complex, like a colorish plate. From the first time to give up the game, go back to the second voluntary, and the democratic way will voluntarily choose to give up and make an individual voluntary choice. It is the temptation of the realistic drive and illusion. Give up, compared to the opportunity to win this money, death is like a gun in front of the brain, do not give up is a desperate situation in real life, like body"
More profound than the general cool film,"I thought it was a movie, the result is a TV series, and it seems that it is more than a quarter. In the first half of the order, it will enter the game mode. In the future, the future direction should be ""Animal World"" ""Hungry game"", ""big escape"" one-free - all have to say that there have been two episodes of the middle to explore human nature, especially the episode of playing"
"""Squid game"" is not worth promoting","After reading ""Squid Games"", feeling is not endless. I can only say that the time is idle, it is a quicker, the rhythm is fast, there is no water, and a film can be discussed while drinking beer and her husband. Feeling the fire of ""squid game"", it is the first two days and 9 years old, you can ask me, you can't see ""squid game"" in my house. I asked her, how do you know? She said that they are watching."
"The reversal of the snake, must be dark?","Tell the last Wu Yi male actually is the final BOSS, I am grass. This type of episode, or modern all kinds of works, and finally seems to have only one theme - human nature is evil, human nature can't afford to test. It seems that you don't dig the evil spirits, you can't show you that you have depth? A life of a lifetime, the body is insult, but not to drag all the people's water (the first vote exits)."
"Some BUG welcomes ""Squid Game""","BUG1: How to determine your own stability of yourself in the tug-of-war, why is the police mobile phone? This can't, why did the male owner still give up her daughter back to the game ... Bug4: If the doctor is killed because it is fair"
"Human concentration, crazy game",/
"Human concentration, crazy game",/
Game but life,"When tension, brush the drama is beneficial to decompress, and the simple game is dragged into more nervous, exciting, brutal emotions, and I forget the realistic pressure. Human genes love story and games, not to do games, new bottled old wine, whether it is ""animal world"", ""hunger game"" or this ""squid game"" in the Netflix, is in the sensory stimulation or humanity ,"
"The truth is true, I really regret it, I saw the last ...",/
Numbers and symbols,/
Tianjin tastes the sound of the string,/
Pack the cockroaches into gold and smashed a boom,"Lack. Really lack. ""Squid Game"" Every time I brush it, I feel that IQ is insulted. I recently watched the analysis of all kinds of pants, what kind of symbol learned what class of metaphors. This is better than a person who uses a precision equipment to disassemble it, then explain ""you see, this is the abalone"", ""This is a sea cucumber"", ""this is a cow"", ""This is a top salmon"
Our story,/
"A good story has made a lack of entertainment films that lack deep excavation, summarizing the ""Hua Mulan"" from the South Korean debt.",/
"The acting OK, the plot old set, the most impressed is the two toolman girls","Playing four stars is because of the active skills, not let me play. The plot is honest, the beginning is okay, but the plot after the bead is basically guess. The male, I feel that there is no sense, and his kindness is not kind in my opinion, and it is the most kind to the family, but he is the most. Zhiying and Jiang Xiao really make people tears, one is to bring your brother family to South Korea to need huge money,"
How hard is good?,"How can I have a fire to Korean film and television works, I have not had a cold. Although I have a lot of time, I brush brush brush, I haven't had a complete look, I have been caught up with the house, I'm bored, I've been a squid game. After reading, I don't have to catch the ear of the ear, I'm waiting for my heart. I always feel that South Korea film works, dark, deep depth, but people can always play"
Our life,"In fact, the first look is a hunger game to laugh the bird. At that time, he looked at a cool, watching the popcorn, seeing the heroine, handsome. Later, I saw a university, there is a cartoon called the uneven world, then I am still quite strange, how Chinese cartoons are fired, and then I found out the same as the squid game. China's startup is more than him, but also blue Less version,"
Some records when watching,/
"""Squid game"" is not more addiction? This 8-part type R-grade film is more exciting","Never thought that ""squid game"" would be so fire: On October 12 . Simple plots in the play, seemingly low-tech games, clear and tidy photography style, has formed strong contrast with plasma splash, brought strong visual and emotional rush to the audience"
"Premiere bombing hot search, half-night popphen","(This article is started in the public number [Korean drama Angel] Welcome to contact authorization reprinted), the long-awaited Korean drama finally came! Tips, it is recommended that the friends will watch during the day or noon. Everyone has played a lot of games during the child, no matter which country is still a child, I have heard of ""one or two wood people"" game. Not much to say, let me"
"Premiere bombing hot search, half-night popphen","(This article is started in the public number [Korean drama Angel] Welcome to contact authorization reprinted), the long-awaited Korean drama finally came! Tips, its content is not terrible but involve bloody violence, it is recommended that the friends will watch during the day or noon. Everyone has played a lot of games during children, no matter which country is still a child, I have heard that ""a two-three wood"
Japanese style,/
45.6 billion won?,"Talk about this number and my own recently known thing. 1 RMB folded 184 won 1 US dollar equivalent to 1,174 won 1 ¡ê 1620.7 won 1 refreshing 117.8 billion won 100 million to buy a person in Korea, equivalent to RMB 54 million, you can buy one BMW 5 Series; 45.6 billion Wan Yuan is equivalent to this year's TI bonus; recently sold 30,000 tons of coal with Uncle, earned 37 billion won; Saudi prince acquisition"
"Different protagonists, different endings","If the protagonist is Wu Jing, just take a gun, this game is cleared. Whale-game Wolf 3111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 ()"
Korean version of the big escape,/
"""Make money is much easier, so that you make this kind of thing"" - ""Money, you also earned, will you easily?""","Ben is in humanity water, let all the beautiful illusions are expected to be, the hope and the hope of breeding are also good, excited, let the ""equal"" value package all ""Statto"" rationalization, make eye high The hand is less than the two poles, all the most realistic transformations are not required, and the consumption of the brain and the heart of the mind are unable to get the residual value output."
Don't walk into the night,"Don't go gently into the night, old age should burn roar when you are in the sun; anger, anger the disappearance. Although the wisdom of the wisdom knows how to be deeper, because they don't have a lightning, they are not gently entering the night. Good people, when the last wave passed, the vulnerability of their fragile good deeds may have dance in the green bay, anger,"
Explore human real version of the Jedi Survival,"1. This drama is a more exciting, horrible, and the story of this master is very exciting, coherent, and thinking about the 9th episode. 2, I personally feel the most touching is the sixth episode. There are two places: (1) Jiang Xiao's new female companion deliberately lost the game because there is no hope (or no reason), and take the initiative to give Jiang Xiao. This is crying. (2) Old grandfather"
.,"Set_ Ò» _ µÃ ÆÕ Í¨, final _ get old soil, _ protagonist _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ÒÔ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ Ourselves _, special _ protagonist, Ming"
Humanity is not a cruel carnival of non-black and white rich people.,/
What is the last episode?,/
Human brilliance and darkness,"Recently, this ""squid game"" is very hot. After watching, it has been found to have it. The work of the big escape is still very hot, and all kinds of extension film and television dramas and games are overwasy, and this drama still has achieved the following points. 1. Creativity: Use simple and easy-to-understand children to play games and bloody killings to form great contrast, let you keep thinking about knowing"
Squid game ------ Maybe you can escape,"Squid game ----- Perhaps you can escape a few years ago, Koreans use ""parasite"" to tell the world, what is rich in people. This year, Koreans once again bring unlimited enthusiasm and sincerity, tell the world, how to become rich: ""squid game"" ----- we also escape. The background of the man, the storyline is not complicated, and this no one can understand. Difficult to appear around the man"
Commercial floating world painting,"After reading the main plot of the squid game (spoiled warning): An old man is bored to do something to make yourself happy, it's too rich, you can't satisfy, you can't want to play the murder game. By friends, the audience has a player, put the goal in the social gambling and bankrupt, using money attack, successfully captured for money"
Several places can be replaced but does not affect the development of settings and plots,"First, the order of the 6 games. The first is ""one or two wood people"", this is no problem, the purpose of the beginning is to die, the position of the buckle cake is over, the last one is ok. The glass bridge has passed, and people have basically collapsed. According to the general human logic, the later basically ""hyena gave an anal"", anyone slaughtered, completely lost self-consciousness. Second, the will of the sixth level"
Decline,"The protagonist is really cheap and still selling. He got so much money alone, and the two of the two bordered him before, and gambling his debts, lived a good day. In the last episode, he can change anything, and those people have unlimited property and rights, and he can shake. Some of the good stupid, the protagonist is too serious, as he can survive to the end purely"
Popularity and content of commercial tablets,"I spent a valuable time in my life, I saw how much money spent in the end of her. That's it? That's it? That's it? As a qualified commercial escape, look at it, you can't get the content of the content to rush high level, look at the story, is the next Sakura National Play for more than 10 years. There is really no content of the idea, I don't change the medicine. Hunter of the plot"
Children's game adult rules,"After reading ""Squid Games"", the first impression of the show is short and delicate. Under the fast life, this is more intimate compared to 2 hours of movies. This drama is quite simple. The plot is simple, and it is a game. The game is simple, the game when the owner is playing, and some we have also played. The rules are simple, winning a bureau into the next game, and finally winners get high bonuses. This drama is not simple."
"Korean drama ""squid game"": Double game in the game and strength","Text / MANGE has recently been very popular Korean drama ""squid game"", the plot is probably: a group of people who have been unable to breathe in real life, get a chance, enter a magical place, it is said to play the game You can get a big bonus, which is not only easy to get rid of all the previous debts, but also the lot of the lot of people can make people feel very rich."
Exploring the perspective of male master baby and the irony of North America,/
"""Squid Game"" has a lot of spoilers","I always call it into a whale game. . . Remember the fish name, it is estimated that the whale is better than the squid. The psychology of a male gambler is that he is an indispensable element of this game. Similarly, other 454 people are also or have the same psychology, or because of social factors, people who have no way to admit defeat in their respective life. And the big BOSS in the play is the perspective of the use of money, use humanity"
"But it is ""Earth OL"" limit grade DLC","Netfilx has been crazy recently. But feeling Netflix expanded today, I did not expect a Korean drama to be so. In just a few days, the ratings of the squid game have surpassed the Netflix's Taiwan Pillar, from ""Card House (Unfortunately, the Lower Muner's GG"" is ""the"" Wang Crown (the next season should be written, the royal family will not worry "")"", Even in the top of the United States."
"Stroud ""Squid"" and Capital Game","Topic: 456 poisons, destitute Men in the umbrella 4. Even if it is trapped, you should choose the border station 5. Equality world 6. Steel cloth 7. VIP 8. A representative of people 9. Lucky day main line"
Squid game - why life is always so boring,"""Whether the poor is still the same, the common thing is that life is not fun,"" The Han Mai said in the death of the Korean man. Since the net flight in the world, the squid game is broadcast in the world. When I look at this drama, I have been in October, and the Net Flight is also a strong propaganda of this drama. Online I can often see the morganic mechanical giant"
Humanity Yong _ is _ can't afford to scrutinize,"Recently, the ___ set, take advantage of _ last _ brush the whole film, _ feel too cool is too excited, the previous _ no drag _ water, the first episode directly _ Èë _ _ _ _ _ _ __ more people, dead every _ people are one __jin, only live to the last person can take all the _ gold, _ is a _ ___ line trading __. People _ on the face _ huge power _ in front of the _ instinct"
Fried squid with capital games,/
Diversity short comment,"E1 one or two three wood people open the rules, the protagonist background introduction Character paving is a smooth transition game actual combat, gentle classic Waltz Dance Matching Gradeshage Screen The tricks are used here, just unable to see the songs, more recent I love ""flymetothemoon"". E2 Hell, I think No. 1 will continue, the first game is only to play the attitude of playing games, no"
"Understand the logic of speculators, you can understand all the choices of men who are ill","Seeing comments The decision of the male master is mainly to treat the mother and daughter. There are three points of the biggest controversy: 1) Throw the mother's mother and return to the game, come back the mother has been dead, is it extremely filial; 2) Do not accept the daughter stepfather Mother's life-saving money, but hit people, is it very inexpected; 3) You are still in this mother, what qualifications are exclusive to derive people, is it very hypocritical. Say"
"Don't talk about humanity, just talk about people",/
"""Squid Game"": The whole staff, the end of the funeral, the people set up, the ""net red"" drama of the fire","""Squid Game"": The whole staff is evil, the funeral is extremely, the people have broken, and the ""net red"" drama of the firefighters can refuse to invite Kong Liu's invitation. Li Zhengzaizai, Liu Li, Xianxian, as a result of this lineup, even if they only do it all day, I don't do it. The female is cool, cold, ìª, ×§, A (Zheng Haozhen added 17 million powder by the role, becoming a lv spokesperson) this eleven holiday, ""squat"
Symbolic world + cool drama,"The main storyline of ""squid game"" is like this: a group of liabilities have been invited to participate in a game, and people who have passed all levels can win huge bonuses, 45.6 billion won, the amount, not only pay attention to debts. Turning over to be the master, and enough for a few living, food and food. Gamble? [Symbolic world, sharp and profound] The drama of the big escape theme is, ""hunger game"", ""Mi"
Korean drama + network flight = high visibility,/
Aircraft,/
"This game, do you think it is interesting?","(Within the slight slight amount of spinning, it is more than half of the time, and the time is finished with commutation and lunch break. I really made me shock! The heart is jumping, and it will be able to cover the screen from time to time. The story is actually a classic story of survival, there is a former consequences, reversal, unity, departure, trust and loss, the elements have a high completion degree. Screenplay of the script"
"Soft ""squid game""",/
"High open, no jump out of the set",/
Cave another version,/
"According to this progress, the survival game refers to the day.","""Squid Game"" is full of violations that are completely obscured by game stimulation and human test, and such a simple game seems to be more prominent in human desires. One game itself survival game is really not a fresh topic, especially the ""Alice of the country"" in the end of last year, the first quarter of the drama of the Japanese drama, 8.0 points in Douban, in fact, in fact, ""squid"
Squid game,"A group of people who walked without road and urged money received mysterious invitation, inviting them to join a game. In order to win a bonus of 45.6 billion won, 456 participants in the background were closed in a secret place. Every round of games are traditional games that Koreans will play, such as one or two wood people, but the consequences of the failure of the customs are death. Who will be the final winner, this game is"
The top eight episodes Feng Shen! ! ! Entlership garbage! ! !,/
Living to the end is not a person,/
Not metamorphosis (and a little reflection),"I want to write some relationships with the province, and just a little bit of relationship, and then talk about the post. I know when I first started fire, but I know, many people recommend it, but I didn't see. The reason is very simple, I just aimed at the eye, you can make brain a whole drama. It's too similar, the same setting, a certain ending, the same "", please look forward to the second season."""
Unfair squid game: 001 Metaphor,/
There is no absolute good but there is absolute evil,/
"Is the overall fate of human beings? Is it necessary to sustainable, or is it unlimited to brevity?","1 The racing lottery ticket is also a kind of gambling, the company is definitely the minimum odds to manipulate the rider to control their achievements. Gao Li lenders. A bit like a palace drama. 2 want money or want? The gambler's mentality makes them liabilities, which also makes them use their hit money. Is the overall fate of human beings? Is it necessary to sustainable, or to reproduce uncontrollable"
[Spotting] The first episode guess the behind-the-scenes BOSS,"I am really smart. The first episode of the squid game, I guess the behind-the-scenes BOSS is 001 [ÎûÎû]. First of all, I feel that this old person is not very normal, and the 001 explanation is the first to know and participate in this game, will it be the first few sessions to participate in the competition and stay here? Subsequent clues have exacerbated my judgment: 1. Wood people game, in someone died"
Have a sense of view,"Li Zhengzai's acting has subverted to me, I have only stayed in his cognition. This drama that only stays in the new world This drama is very good, and the human ugly and dark surface weak meat. The world must make choices. At the end of the price, some rushes may be male one. If you want to participate in the game again, the ugly director of these game planners is still based in human shoot."
"I want to analyze Cao Shangyou in ""squid game""",/
"At the beginning of the person, the character is good",/
Evaltered escape game,"The problem of the drama is still quite a lot, one by one. 1, the rhythm is very slow. In fact, I just want to see them to play games, why do you have to come, why have you had to go back now? There is no need to explain so much ... and the middle of the roles even exit games for a few days, it is not necessary to add this paragraph, or there is no need Describe with such a variety of spaces ... Obviously there is a simple way to let the players realize ""go out"""
High high VIP visits are also not a winner of life; poverty and richness are not the only standard for measuring happiness.,/
Money refracts humanity ugly,/
Cow. It is a bit horrible.,/
The story of the police brother and the game leader brother,"I really like this silence of the handsome police brother. In the first quarter, he did not have a lot of outsiders who have nothing to do with the game. However, a key role that exposed the secret promotion of the development of the plot. He was hit by the person in charge of the game, shoulders Gun away into the sea, but there should be no death in the first quarter, a summary and speculation of the story of these two brothers: Brother is also a policeman, this"
Squid game,"Just finished the last episode, I thought it was not finished, I checked it, 9 episodes _____ ¡â_ ... feel not finished, is the police finally dead, the man returned to the next time ... .... But the content is still very good, each link shows the human nature, survival instinct, greed ... compared to the man, the man can be said to be very kind, I don't know this and the male reality"
"Therefore, it is the most important thing to establish an organization or fund.","I was busy sneaked over the TV series, so it was obvious that the most important source of an organization was also funds. The founder of the organization is capital big, combined with other capitalists to provide funding for the entire game, and there is no capital inch. Provide resources to rich resources through bloody games, gaining annual source of inflow funds. This seems to have a key 80% of the establishment of an organization."
Capital alienation,/
"Game, game","If you don't understand why everyone participates in the game, may you never need to understand; if you don't understand why most people are dead, I have to continue the game, I will never need to understand; if you don't know why you have money, I didn't board the United States to watch my daughter flight. I hope you will never understand; you ask what I know, I know more about the rules of the game, I learned the original Chinese and Korean children."
Brutal humanity,"Almost one breath, let's say a few words (with dramatic, cautious). I think I can give 3__ half or 4__. The plot is compact, but it really reminds me of ""Hungry Games"", ""El Bar"" and the like. I saw a part of the drama director interview, it seems to be the script brewed around 2008, how to say it, not necessarily, it is imitated, after all, the big escape theme is indeed very fire, and"
Realistic annotation,/
"When you want to come out, it has already been trapped.","The erosion behavior of people's desires and power-up people are lended by Korea. A quite ironic Korean drama, there is no love love, only endless killing, and humanity greed and distortion. I saw the beginning, the first idea of __the brain is that this game must be in the dark, or the people who are either a high-power person, or the people of Fuyi. This is a rich man"
Squid game - a self-analysis,"This is not a pure film review, because I didn't have a complete collection of drama, only about 50 minutes of explanation. This drama is discussed from the perspective of human nature. First, when two projections look at this drama, I will bring myself into two roles. (1) Golden mask: The first game begins, when the weird wood man turns around and kills the first person, my heart has a secret. then"
untitled,"Throw it into the slot point, 7 points. Very strong. How can my watching the purpose of the big boss, just for fun. You are taking a fight under the bottom, and the capitalists in the audience will not care at all. Once again, my friend is right, I can only feel that the East Asian is really too rolled out after reading this play. Evue all kinds of external elimination, but hiding the inbuggling between the people"
"Although the ending is an ending, you are guessing and don't dare.",/
Is it a person? Is it a beast?,"Game settings, development really can cause great reflection. After the protagonist is separated from the game, it will not be able to restore your mood, reply to the real society, the same thing. The whole game, behind the scenes, recruiting a group of people struggling under the underlying society, opening this seemingly ""fair"" game. The sign of the manager emphasizes fairness, in fact, circular, triangular, square, manager, this kind of potential"
20211016 squid game,"1. Use a six afternoon time, brush 9 episodes. 2. In general, there is nothing special in innovation. This kind of big escape is murderous, Hollywood has a lot. 3. It is still good to look at the street. Suspense stimulating violence blood, there should be everything. The expression of character characters is basically online. 4, some game level is not good. Such as stamped sugar shape, lack of interaction, very boring. For example"
When you come to a secret room to escape the version?,/
After reading the squid game,/
Two worlds,"The episode creates two worlds, one is the world of real life, and the other is the world of doing games on the island. Different from the virtual and reality in the science fiction, the two worlds in the play are actually a real world. The reason why I call it is two worlds because it is very special because of the game world. First it is a small island that is isolated from the world (people who play games don't know that they are on the island), play"
I have been rolling to no life,"In the new way of Jiake, Yu Hua, ""Have been traveling to seawater deep blue"" to paint beauty and belief in the desire and belief of the Chinese ""to the outside"", and this at the same time, Netflix's Korean episode ""squid"" Games, in the form of black games, showing Asian special volume. Humanity, good and evil, game, debt, etc. are all placed under the theme of ""competition"", in extreme ""escape"" settings"
Why don't you dare to face the east of Koreans?,"First of all, this drama, I think there is no problem, give 9 points absolute enough, don't say that radio and electricity is a bloody, you are looking for China, have a lot of drama. Don't you read it? However, it is more than a chaos to answer some prejudice 1. The police line has 2 seasons pre-shot the police officer's non-population falling in the sea full of volts 2, the male owner is not labeled! Not laminated! He only accounts for cheap"
"Have known, the same type of film is still the first nature of Japan","To say that this drama can be seen, the conclusion is to see, but he is known. In recent years, there is no matter how many UP main chasing is blowing, it is very good to see, but the film quality is not matched. The most essential ex essence of the full drama is the episode of playing ball games, abuse and tears, and the darkness of humanity also shows. But in the comprehensive drama, the overall lack of characteristics and highlights, even flat"
45.6 billion won 455 life,"To say the most recent drama, it must be the ""squid game"" of the net. Just open a small red book, QQ can be spoiled and twisted. Just $ 21.4 million (to know, this is almost ""Falcon and Winter Soldiers"" ""The Squid Game"" of the ""Squid Game"" of the Episode of ""Squid"" is directly opened, all the way to the network fly history, the most welcome drama Set the first position (110 million streaming media"
Reflections on ordinary people,"1. Capitalism is that people who have money and standing on the top floor can set rules. 2. Shangyou is a person who can find a developed rules, but only the smart people living in the rules, can pass most levels, sorrow, but only can live in the rules 3. Most people The appearance of ordinary people, teaches kind to social rules, and they have lived in ordinary life, but they have worked by other people."
Squid game | How to define good and fake,"Recent fire network flying Korean drama (only personal opinion only) class, violent bloody degree is full of scale _ _ game rules to mention, indicate the essential survival game two lines three types: participants, managers, watch players __ a group People who have fallen into financial dilemmas in the face of huge bonuses participating in six children's games __1.123 wood people 2._ sugar (disapper) 3. Tutor of the river 4. Posa 5. Glass bridge 6. squid"
"Mask, visitor, rules and huge games","A pseudo film review, the purpose is to pick off powder for the public, be cautious. ¡ø story ¡ø people are the only creatures that will tell stories. Liu Cixin talked a story called ""three body"". In that story, the protagonist Yun Tianming was treated as a honesty. Later, this Yun Tianming passed the story to human beings, while the three-body interlocks were immersed in the beauty of the story. this"
Should be renamed the leek game,"If this film is tearing open the big scene of the marketing number and the so-called ""revealing humanity"" coat, it is a complete rotten drama. It is better to rename ""Leek Game"", the theme is the self-domestication of leeks. Recently, many secondary sets of unlimited stream survival theme commercial film fire, including Netflix plays an important role. Net fly has launched ""Alice of the country"" this year, ""Happy Home"
"From the perspective of the child, look at ""squid game""","National Day is at home, listening to friends to say the fire, ""squid game"", look at the house. The first grade nephew also came to see the ""one or two wood people"", I have been worried about the bloody scene. I am afraid that the children are not suitable, but he seems to be in it. He has been following the episode. The atmosphere of the chart has fried chicken cola, while watching while looking while looking at the unique perspective of the child. ""One or two wood"
"The form is better than people, the rules are set, the inner rolls are proletaries! Infoured! You die, you live! Someone watching is lively on the shore!","Listening to the director said that he was inspired by the 2008 economic crisis and the 2016 Trump win, and then I feel that this drama can stimulate social preferences, so I will shoot. . Idea has been there ten years ago. . . Simple game rules, brutal wins and negative punishment, lost death, win live, 456 people live, 45.6 billion wares. For decades of traditional competitions, the world of one stop in every country in the world. . . a generation"
What else behind the body and plasma?,/
"The four women in the game - whether they are in the game, or in reality, they never compromise (containing the drama)","The points of this drama are mainly in the design, and many people around me quickly entered the plots of other scenes, only focusing on the plot of the game. The mouth through Cao Shuyou (male neighbor) shows that this game is designed in accordance with male ideas - more than spliced, strength, competition, active, adventure, logic thinking, and resource. The game is social epitome, which is also metaphor"
"""Squid Game"": The whole staff, the end of the funeral, the people set up, the ""net red"" drama of the fire","No one can refuse the invitation of Kong Liu. Li Zhengzaizai, Liu Li, Xianxian, as a result of this lineup, even if they only do it all day, I don't do it. The female is cool, cold, ìª, ×§, (, a (Zheng Haoyu), with this role, 1,7 million, becoming a lv spokesperson) this 11th holiday, ""squid game"" brush all major social software platform. Now everyone is calm down, the front section"
Word of squid,"I have always had a fixed stereot impression on Korean drama. Steerypes: long legs, beautiful women, men and women's emotional entanglement and love ... Flow in the form of the surface, the skin is also awkward, the style is difficult to say, it is difficult to board the elegant. The squid game is a play, it is recommended, even if he domains."
"""Yun hungry, people live more""",/
About the character of the characters,/
